Name;Volume;Ask Size;Ask Price;Bid Size;Bid Price;Last Price;Shares Matched;Shares Routed
UVIX;3588463;23036;350;16200;349;349;3364302;224161
MSTU;2688689;200;953;1100;952;952;2663245;25444
MSTZ;1868011;305;1858;200;1856;1857;1837393;30618
TSLZ;1697617;31000;250;114772;249;250;1691961;5656
NVDQ;1385213;56754;298;65751;297;298;1379181;6032
UVXY;1183010;150;2127;100;2125;2124;1160759;22251
NVDX;1064752;5900;1516;13700;1515;1512;1021960;42792
ETHU;601234;7500;747;1747;746;746;600879;355
VXX;452984;20;4667;110;4664;4664;443278;9706
FBTC;424237;320;8272;130;8268;8271;422540;1697
BITX;418065;50;5265;101;5262;5264;416001;2064
IGV;389421;25;9898;325;9897;9898;388768;653
IWMI;332730;500;4905;500;4897;4900;332730;0
IEFA;262626;8200;7083;700;7082;7083;261495;1131
ARKG;262365;400;2553;730;2551;2553;261657;708
ITB;247262;50;10249;150;10246;10250;245386;1876
INDA;232353;5403;5232;3500;5231;5231;231633;720
SVIX;208063;100;2473;100;2462;2475;207863;200
USHY;206320;30901;3691;13900;3690;3690;206318;2
ARKB;133328;100;9450;100;9446;9451;131658;1670
FLOT;131643;11651;5094;14294;5093;5094;131643;0
GOVT;127453;191849;2237;247200;2236;2236;122504;4949
CALF;109105;1396;4405;1600;4403;4405;107713;1392
TSLT;96099;210;3579;60;3575;3585;92196;3903
QDTE;90498;700;3991;8;3990;3990;90343;155
MOAT;87922;630;9246;610;9244;9243;87403;519
VIXY;87536;100;4594;25;4586;4584;85725;1811
PAVE;76756;600;4045;400;4044;4045;74822;1934
COWZ;66391;200;5675;410;5674;5675;66390;1
EZU;62807;600;4784;500;4783;4783;62600;207
EFV;60718;1800;5277;400;5276;5275;60218;500
USMV;53940;855;8880;151;8879;8880;51211;2729
SVXY;50547;100;4949;200;4945;4950;50417;130
NOBL;50187;100;9872;10;9871;9870;47011;3176
ITA;49762;100;14584;300;14578;14581;49562;200
SPYI;49145;1500;5108;3;5107;5106;49132;13
ICVT;47384;601;8546;606;8541;8543;47384;0
XDTE;44702;2000;4993;2000;4983;4989;44682;20
REM;43092;670;2134;270;2133;2133;41621;1471
IDV;41424;411;2731;600;2730;2731;40264;1160
FETH;40975;300;3313;700;3310;3310;40624;351
QDEC;38565;4100;2771;200;2761;2765;38314;251
BBJP;37981;3331;5484;1500;5483;5483;37981;0
FBCG;37290;200;4719;4;4714;4715;36888;402
AAAU;36761;35690;2640;26900;2639;2639;36761;0
HYD;36551;400;5168;288;5167;5168;36551;0
GOVZ;35606;16700;954;6700;953;953;35606;0
TLTW;34477;900;2316;3904;2315;2316;34475;2
MTUM;32462;100;20934;700;20928;20936;32435;27
JCPB;31718;3201;4585;2400;4584;4584;31712;6
BUFR;31305;3900;3056;1900;3055;3055;31305;0
RDVI;30069;700;2454;100;2451;2453;30069;0
QUAL;27222;100;17910;210;17907;17908;23896;3326
EFG;25900;110;9807;329;9799;9803;25900;0
ECH;24395;615;2530;200;2528;2527;24395;0
HEFA;22816;1200;3523;141;3522;3522;22816;0
NEAR;20966;1613;5050;9327;5049;5050;20295;671
DFIC;20805;1300;2594;1700;2593;2592;20505;300
ICSH;20604;13141;5050;10371;5049;5050;20604;0
JBBB;19957;17401;4921;5549;4920;4920;19329;628
ARKQ;19811;140;7973;520;7967;7965;19811;0
LVHI;19686;500;3070;100;3065;3070;19686;0
BBEU;19648;1110;5608;3;5607;5608;19648;0
CBOE;19188;100;19083;110;19055;19077;19188;0
BTCZ;19164;10309;565;10409;564;567;19164;0
ACWV;18533;1225;10869;1000;10865;10867;18533;0
VLUE;18230;100;10613;1200;10611;10613;18124;106
PLTR;17902;64;4984;199;4980;4986;17902;0
IFRA;17880;154;4579;100;4577;4578;13919;3961
HYDB;17832;2836;4709;659;4708;4708;17330;502
BALT;17484;700;3149;211;3148;3148;17484;0
BBCA;16702;100;7135;1000;7131;7132;15602;1100
ITM;16566;238;4597;600;4596;4596;16295;271
